domain,name,region
huffingtonpost.com,Huffington Post,USA
cnn.com,CNN,USA
washingtonpost.com,The Washington Post,USA
nytimes.com,The New York Times,USA
online.wsj.com,Wall Street Journal,USA
democracynow.org,Democracy Now,USA
usatoday.com,USA Today,USA
latimes.com,Los Angeles Times,USA
foxnews.com,Fox News Network,USA
breitbart.com,Breitbart News Network,USA
nypost.com,New York Post,USA
thehill.com,The Hill,USA
theblaze.com,The Blaze,USA
usatoday.com,USA Today,USA
nbcnews.com,NBC News,USA
msnbc.com,MSNBC,USA
buzzfeed.com,BuzzFeed,USA
forbes.com,Forbes,USA
politico.com,Politico,USA
npr.org,NPR: National Public Radio,USA