mentions_count,person
23310,Donald Trump
17607,Los Angeles
9937,Theresa May
5136,Bill Nelson
5090,Stan Lee
4802,Suu Kyi
4792,Rick Scott
3377,Angela Wagner
3141,Jim Acosta
3016,Abu Dhabi
2978,Avigdor Lieberman
2798,Nancy Pelosi
2794,Benjamin Netanyahu
2789,Mike Pence
2776,Barack Obama
2732,Melania Trump
2674,Las Vegas
2593,Ram Allah
2552,Hanna Rhoden
2493,Michelle Obama
2487,El Chapo
2392,Boris Johnson
2297,Ryan Zinke
2227,Scott Morrison
2210,Vladimir Putin
2132,Hillary Clinton
2128,Mike Dewine
2115,John Kelly
2114,Prime Minister
2096,Kevin Mccarthy
2082,Asia Pacific
2023,Ron Desantis
1983,Kory Honea
1982,Jake Wagner
1942,Narendra Modi
1935,Jim Jordan
1867,Jamal Khashoggi
1857,Jeff Sessions
1746,Kirstjen Nielsen
1722,Angela Merkel
1705,Harry Potter
1693,Billy Wagner
1660,Miley Cyrus
1652,Bill Clinton
1626,Robert Mueller
1581,Christopher Rhoden
1577,Andrew Gillum
1541,Mira Ricardel
1534,Jeremy Corbyn
1530,Klaus Johannis
1521,Frankie Rhoden
1511,Lady Gaga
1489,Mahmoud Abbas
1452,Prince Harry
1436,Jim Jones
1413,Matthew Whitaker
1403,George Billy Wagner
1402,Edward Jake Wagner
1396,Michel Barnier
1384,Greg Gibson
1377,Arlene Foster
1355,John Locher
1346,Susan Bucher
1343,Daryl Osby
1314,George Wagner
1297,Ranveer Singh
1276,Deepika Padukone
1273,Jeffrey Clark
1220,Gary Rhoden
1220,Li Keqiang
1197,Stacey Abrams
1191,Clarence Frankie Rhoden
1190,Jerry Brown
1183,Chuck Schumer
1180,Jared Kushner
1175,Kenneth Rhoden
1173,Marie Antoinette
1159,James Wiley
1158,Hannah Gilley
1149,Jair Bolsonaro
1142,Brian Kemp
1141,Jim Mattis
1140,Frank Depaolo
1129,Donald Tusk
1128,Edward Philippe
1123,Lee Keqiang
1095,Jin Ji
1085,Gavin Newsom
1081,Queen Elizabeth
1042,Santa Claus
1037,John Bolton
1037,Leo Varadkar
1035,Jeffrey Lichtman
1016,Jemel Roberson
1016,Nicola Sturgeon
1002,Nikola Gruevski
999,Liam Hemsworth
998,Mark Walker
958,Alice Weidel
953,Zoran Zaev
951,Yasser Arafat
950,Addison Lee
943,Mitch Mcconnell
941,Pope Francis
929,Marc Elias
927,Sarah Sanders
925,Kyrsten Sinema
923,Charlie Brown
913,Mahinda Rajapaksa
911,John Legend
898,Stephanie Grisham
898,Gwen Stefani
895,Gerard Butler
891,Carrie Underwood
889,Jacob Rees-Mogg
885,Joko Widodo
885,Chris Jackson
869,Maithripala Sirisena
845,Ranil Wickremesinghe
840,Miranda Lambert
834,Victor Orban
834,America Latin
832,Jeff Bezos
828,Joaquin Guzman
825,Ali Baba
811,Dana Rhoden
811,Aston Martin
785,Oprah Winfrey
784,Abraham Lincoln
779,Leo Ryan
770,Chris Watts
767,Luyendyk Jr
766,Martha Mcsally
766,Tayyip Erdogan
766,Joni Ernst
764,Kate Middleton
764,A Christmas Carol
762,Harold Taylor
758,Jeff Flake
752,Matt Whitaker
752,Albert Hall
751,Nick Ayers
745,Ivanka Trump
744,Joaquin El Chapo Guzman
741,Carl Wiley
738,Alan Fram
728,Pacific Ocean
728,Dick Cheney
727,Jesus Fernandez
716,Justin Trudeau
715,Cox Bazar
714,Jay Wallace
713,Bradley Cooper
708,Edward Wagner
699,Steve Scalise
697,Notre Dame
695,Liz Cheney
693,Dominic Raab
688,Rodrigo Duterte
684,Mike Pompeo
682,Jesus Christ
681,John Abizaid
677,Falun Gong
676,Adam Fels
675,David Davis
673,Christopher Jr
672,Wilbur Ross
670,Nikema Williams
670,Naftali Bennett
670,Mercedes Schlapp
669,Teresa May
669,Reed Saxon
669,Meghan Markle
665,Rahul Gandhi
660,Helen Keller
659,Evan Vucci
656,Sandra Bullock
655,Edward Clark
654,Brad Paisley
653,Felipe Calderon
652,Otay Mesa
650,Harry Winston
649,Chance The Rapper
641,Deb Fischer
639,Rita Newcomb
639,Gaza Hamas
637,Alexis Tsipras
634,Janie Har
627,Ella Whistler
623,Myrna Pascua
620,David Mundell
620,Penny Mordaunt
618,Jawaharlal Nehru
616,Jocelyn Gecker
616,Abu Ammar
616,Sudhin Thanawala
604,Nikolas Cruz
603,Shinzo Abe
602,Greg Hunt
598,Noah Berger
598,Neil Young
596,Linda Rawlings
593,Teresa Mae
591,Viktor Orban
591,Monica Lewinsky
591,Ernest Foss
588,Masch Meyer
588,Chris Stapleton
584,Robin Thicke
580,Chuck Grassley
579,Wilfredo Lee
578,John Clark
574,Esther Mcvey
571,Jeremy Hunt
571,Carey Hart
568,Marco Rubio
566,Europe Europe
565,Jeffrey Donaldson
563,Robin Hood
561,Jacinda Ardern
561,Sarah Huckabee Sanders
558,Draymond Green
555,Jesse Ray Hooker
554,Kenny Chesney
551,James Mattis
549,Ronald Reagan
547,Gaza Gaza
547,John Minchillo
547,Cyril Bozhinovski
546,John Cornyn
545,Matteo Salvini
541,Queen Marie Antoinette
540,Marco Ugarte
540,Bernie Sanders
532,Tayyip Erdo
531,Mark Lorenzen
526,Chris Coons
525,Pedro Sanchez
520,A Charlie Brown Christmas
519,Lok Sabha
516,Garth Brooks
516,Claire Grady
512,Simona Halep
512,Kanye West
511,Stephan Jones
510,Thomas Rhett
508,Kostas Simitis
506,Channing Tatum
506,Tyler Houlton
500,David Cameron
499,Sun Dong-Yeol
497,Jim Jr
496,Dana Manley Rhoden
496,Lindsey Graham
495,Twente Twente
492,Cameron Frewer
492,Kevin Durant
492,Mahathir Mohamad
492,Renae Lawrence
492,John Thune
488,Darlene Superville
484,Van Eenennaam
481,Amy Totenberg
480,Enrique Pena Nieto
480,Jason Aldean
475,Harriet Oleson
471,Cindy Hyde-Smith
470,Andrew Cuomo
470,Cory Booker
470,Yvette Herrell
465,Dierks Bentley
462,Shawn Mendes
459,Bruce Poliquin
456,Tim Reiterman
455,Jonathan Pryke
455,Novak Djokovic
453,Zeke Miller
452,Howard Hughes
452,Fredericka Wagner
451,Brendan Farrington
449,Young Kim
448,Camila Cabello
445,Iain Duncan Smith
444,Geoffrey Cox
444,Ismael El Mayo Zambada
443,Brian Cogan
442,Thomson Reuter
442,David Eastman
441,Dave Grohl
439,Carsten Masch Meyer
438,Yisrael Beiteinu
438,Gil Cisneros
437,Keith Urban
435,Colin Winchester
434,Benjamin Griveaux
433,Thomas Gottschalk
431,Sisto Malaspina
428,Steve Bannon
428,Sabine Weyand
427,Blake Shelton
427,Patrick Brown
427,Jeb Bush
424,Jennifer Aniston
422,John Barrasso
422,Mike Espy
417,Naomi Watts
416,David Lee
412,Guy Verhofstadt
412,Tanyalee Davis
412,Sammy Wilson
411,Matthew Guy
411,Nigel Farage
409,Johnny Depp
409,Al Capone
408,Harvey Weinstein
407,Eddie Lazarom
406,Imran Khan
405,Liu Wei
404,Katie Porter
404,Alexis Tsipra
403,Vickie Chapman
401,James Bulger
399,Albert Einstein
399,Andry Rajoelina
398,Mimi Walters
398,Elon Musk
397,Jo Johnson
396,Europe Asia
392,Samsung Biologics
392,Angie Avila
390,Sajid Javid
389,Joe Perry
389,Ben Wolfgram
388,Prashant Bhushan
387,Francis Rooney
387,Wayne Rooney
386,Julian Smith
385,Peter Poroshenko
385,Addis Ababa
384,Becca Kufrin
384,Estadio Azteca
383,Freddie Mercury
383,Vichai Srivaddhanaprabha
382,Francois Curiel
381,Pedro Sula
380,Horst Seehofer
379,John Paul
378,Luke Bryan
377,Chris Pizzello
376,Martin Luther Smith
375,Candice Broce
375,Joanna Gaines
374,Jim Jone
372,Jens Stoltenberg
368,Dror Ladin
365,Jeff Hill
365,Daniel Delaney
365,Paul Ryan
364,Sitiveni Rabuka
363,Dana Rohrabacher
363,Jeff Denham
362,Rick Perry
362,Jun Lin
361,Andrs Manuel Lopez
361,Kim Kardashian
360,Bebeto Matthews
359,Christine Lagarde
358,Nathan Deal
358,Abul Kalam
358,Santa Barbara
354,Santa Monica
353,Thomas Massie
352,Catholic Pope
352,Roger Federer
351,Khan Al-Ahmar
351,Dmitry Medvedev
351,Mark Schiefelbein
350,Andrea Leadsom
349,Chris Cornell
349,Kurt Fearnley
349,Oliver Spasovski
349,Steve Jones
348,Brad Weldon
347,Duncan Smith
346,Canaccord Genuity
346,Madeleine Mccann
346,Fred Gmitter
345,Richard Drew
344,Paul Felix
343,Julie Murphy
340,James Corden
338,Ernesto Araujo
336,Manfred Weber
334,Tiny Tim
333,Martyn Namorong
332,John Maitland
332,David Ben-Gurion
331,Freddie Mac
331,Rahul Kadakia
331,Ashley Judd
330,Abu Zubaydah
329,Asia Bibi
329,Jennifer Riordan
329,Jonathan Lemire
329,Saint Faith
328,Tracey Crouch
328,Rosie Dickson
327,Catholic Bishop Rolando Santos
327,Michael Bloomberg
327,Rochus Tatamai
327,Allan Bollard
327,Hatem Moussa
327,Cyril Ramaphosa
327,Sachin Pilot
325,Janakieski I Cyril Bozhinovski
325,Mike Chitwood
324,Chris Harvey
323,Jack Kirby
323,Michael Gianaris
323,Willowdean Dumplin Dickson
322,Winston Churchill
322,Jimmy Kimmel
320,Daniel Andrews
320,Amar Ujala
320,Jeff Clark
320,Indian Ocean
320,Saad Hariri
319,Lauren Groh-Wargo
318,Guy Fieri
318,Cristiano Ronaldo
318,Rudolf Diesel
318,Cindy Watts
318,Yediot Ahronoth
317,Laura Avila
317,Jon Venables
316,Marcio Jose Sanchez
314,Jeremy Wright
313,John Mayer
312,Arabia Arabia
312,Billy Joel
312,Voreqe Bainimarama
312,Dana White
311,Hamza Abbas
311,Muhammadu Buhari
311,Elizabeth Warren
311,Betsy Ann Cowley
311,Cristina Neagu
310,Joseph Westphal
310,Ken Detzner
309,Shanann Watts
308,Dan Meuser
306,Tony Blair
306,Raymond Beltran
306,King Crestron
305,Yisrael Beytenu
305,Bernat Armangue
305,Jorge Enrique Pizano
305,Rob Kardashian
304,Scott Mclean
303,Corina Cretu
303,Mahinda Rajapakse
303,Susan Collins
302,Viktorija Ijevleva
302,Brett Kavanaugh
302,Aimee Cummins
300,Anne Clark
300,Antonio Guterres
300,Tammie Jo Shults
299,Matthew Libatique
298,Karan Johar
298,Rachel Fernheimer
298,Ajay Singh
297,Seanique Mallory
297,Scott Gottlieb
296,Jimmy Van Bramer
295,Ballard Spahr
295,Jim Mcdonnell
295,Robyn Crittenden
295,Darren Ellisor
295,Tony Marshall
295,Carson Daly
294,Laurie Kellman
293,Steven Brown
293,Porfirio Lobo
293,Ashok Gehlot
293,Sigourney Weaver
293,Karu Jayasuriya
291,Ivan Duke
291,Charlie Neibergall
291,Andy Kim
291,Sean Penn
291,Gavin Rossdale
290,George Lucas
290,Welborn Adams
289,Wacker Thun
288,Hannah Hazel Gilley
288,Jorge Pizano
288,Gillian Flaccus
287,Henry Mcmaster
287,Jose Mourinho
287,Baltic Sea
285,Mahathir Mohamed
285,Hery Rajaonarimampianina
285,Steve Knight
285,Tim Barrow
285,Bashar Assad
284,Darrell Issa
283,Tara Stoinski
283,Roberto Moreno Ramos
282,Omarosa Manigault Newman
281,Mustafa Ali
281,Atlantic Ocean
281,Ser Soprado
281,Leveon Bell
280,Michelle Bachelet
280,Thom Tillis
280,Bebe Rexha
280,Adrian Costeiu
280,Herald Sun
280,Gina Haspel
280,Andrew Finch
279,Joe Biden
278,Vladimir Groisman
277,Kiril Bozinovski
276,John Mccain
275,Vastervik Ankarsrum
274,Luke Dorsett
274,Anna Behm Masozera
274,Kate Goodchild
273,Kevin Domas
273,Roozi Araghi
273,Ilhan Omar
272,Jimmy Butler
272,Nurul Amin
272,Kirsten Gilardi
272,Kelsea Ballerini
271,Ricky Kennedy
271,Bruce Rauner
271,Marc Ravalomanana
270,Altaf Qadri
270,Russ Mittermeier
270,Hugh Jackman
269,Lu Xiuyan
269,Peter Square
268,Doug Ford
268,Simon Birmingham
267,Rob Grabowski
267,Adolf Hitler
267,Scott Walker
266,Mariah Carey
265,Peter Parker
265,Naheed Nenshi
265,Republica Dominicana
265,Taylor Swift
264,Warren Buffett
264,Boyko Borisov
264,Robert Bailey
262,Christopher Weber
262,Andrej Babis
262,Alexei Navalny
262,Hassan Rouhani
261,Idris Elba
261,A Hong Kong
260,Robert Bowers
260,Mark Burnett
260,Liam Fox
260,John Lewis
260,Kamala Harris
259,Marie Claire
259,Jude Law
259,Mike Touchette
258,Krysten Sinema
258,King Abdullah
258,Martin Luther King Jr
258,Arthur Edwards
257,Jimmy Fallon
257,Sarah Smith
257,Becky Lynch
256,Hagia Cross
254,Patrick Murphy
254,Will Ferrell
254,Mark Habedank
254,Oren Nimni
254,David Schwimmer
253,Gregory Kulis
253,Justice Ranjan Gogoi
252,Arie Luyendyk Jr
252,Steve Palazzo
252,Lou Marino
250,Dick Durbin
250,William Hague
250,Jeffrey Brown
250,Eddie Redmayne
250,Christopher Rhoden Jr
250,Timothy Sexton
249,Alison Van Eenennaam
248,Tom Jones
247,James Bond
246,Habib Rizieq
246,Palencia Chavez
245,Marceline Jones
245,Stephan Gandhi Jones
245,Philip Hammond
245,Bill Haslam
245,Yvette Muldrow
244,Mark Dragon
244,Tony Rhoden
243,Adam Harris
243,Clarence Rhoden
243,James Warren Jones
242,Anna Vyakhireva
241,Wahlkampfspende Alice
239,Monty Hall
237,Arun Shourie
237,Matt Dunham
237,Kid Cudi
237,Mia Love
237,Melissa Gilbert
236,Goldman Sachs
235,Conor Mcgregor
235,Paul Spencer
235,Calyxt Voytas
234,Nicholas Kalaitzandonakes
234,Jennifer Kuzma
234,Penny Wong
234,Pauline Hanson
234,King Ming
234,Mike Jackson
234,Greg Jaffe
233,Sami Abu Zuhri
233,Jean-Claude Juncker
233,Baiq Nuril
232,Ibrahim Abbas
232,Michel Fourniret
232,Tom Macarthur
232,White Christmas
231,Orlen Wisla Plock
231,Lauren Burnham
230,Claudio Ranieri
229,Ezra Miller
229,Dagens Nyheter
228,Mark Roch Christian
228,Chrissy Teigen
228,Jim Bonfiglio
228,Peter Jackson
228,John Bazemore
228,Ian Blackford
228,Matthew Hussey
228,Mandy Moore
228,Nellie Oleson
228,Nursultan Nazarbayev
227,Dalai Lama
227,Mevlut Cavusoglu
227,Mary Ragoobeer
227,Jane Goldman
227,Dan Voytas
227,Malusi Gigaba
226,Rob Grabowski Invision
226,Petro Poroshenko
226,Christopher Spinney
226,Christophe Castaner
226,Nestor Martinez
225,Nicole Kidman
225,Shahid Afridi
225,Dennis Muilenburg
225,Ruth Davidson
224,David Lee Murphy
224,Karen Gievers
223,Kevin Anderson
223,Frank Bainimarama
223,Rhett Baker
222,Ahmed Mohamed
222,Nawaz Sharif
222,Greg Robinson
222,Blake Snell
222,Viola Davis
222,Ben Mcadams
222,Particularsquarter Endedsep
222,Benjamin Mendy
221,Jesse Collins
220,Adam Schiff
219,Laura Ingalls
219,Beit Lahia
218,Moreno Ramos
218,George Bush
217,Lauren Alaina
215,Daniel Bryan
215,Wizarat Al Kharijiyah
215,Steve Mcqueen
215,Turkiye Cumhuriyeti
214,Alessandra Tarantino
214,Laura Wood
214,Linkping Ostergotland
214,Charles Prince
213,Michael Gove
212,Debbie Poole
211,Neomi Rao
211,James Swartz
211,Justice Kavanaugh
211,Harish Meena
210,Guangxi Zhuang
210,Manuel Rueda
210,Grace Meng
210,Zayed Al Nahyan
210,Mark Ronson
210,Our Lady
210,Eugene Smith
209,Raymond James
209,Angel Merkel
209,Kevin Burns
209,Vahid Mazloumin
209,John Cobb
209,Franois Holland
209,Rashida Tlaib
209,Ted Cruz
208,Cody Alan
208,Ben Brafman
208,Hayat Al-Jadida
207,Charles Dickens
207,West Fraser
207,Ryan Smith
207,Muin Bseiso
207,Ramon Lobo
207,Sheikh Hasina
206,Buster Karno
206,Margaret Thatcher
206,Lebron James
205,Robert Thompson
205,Kirsten Gillibrand
205,Trey Glenn
205,Jeff Pollack
205,Angus Taylor
205,Jeff Gaspin
205,Ryan Adams
205,Nikki Boella
205,Smith Tariceanu
204,Brian Oreilly
204,Aaron Favila
204,Thad Cochran
204,Barbara Palvin
204,Scott Hutcheson
203,Aretha Franklin
203,Sachin Bansal
203,Zhao Li Ying
203,Xiao Dragon
203,Abdullah Chaarani
202,Seth Moulton
202,Latin America Ostomy
201,Leszek Czarnecki
201,Chris Janson
201,Bashar Al-Assad
201,Didier Badjeck
201,Square Klafthmonos
201,Krzysztof Wisniewski
201,Lance Walker
201,Dylan Sprouse
201,Michelle Rodriguez
200,Dan Gilbert
200,John Jacobs
200,Carla Knorowski
199,Keiko Fujimori
199,Taylor Goldsmith
199,Roger Kelton
198,Andrea Diaz
198,Sondra Crosby
198,Vic Fedeli
198,Yuri Kageyama
197,Tom Wolf
197,Monika Chlebicz
197,Mark Zuckerberg
197,Santiago Solari
196,Tony Evers
196,Justin Verlander
196,Debbie Stabenow
196,Santa Clara
196,Al Gore
196,Shunji Iwai
195,Andrew Wyatt
195,Ed Sheeran
195,Ali Khamenei
195,Richard Wynne
195,Steven Marshall
195,Anthony Rossomando
195,Samir Geagea
194,Ralph Goodale
193,Ariel Schalit
193,Martin Scorsese
193,Lasse Svan
192,Jeff Mcintosh
192,Christopher Eskew
192,Santee Cooper
192,Jimmy Smith
192,Joan Siff
192,Leonard Manley
192,Mitt Romney
192,Ouezzin Coulibaly
191,Ariana Grande
191,Shane Gaskill
191,Mary Queen
191,Isidore Ntogiakou
190,Stifel Nicolaus
190,Barry Goldwater
190,Yeshim Deniz
189,Anna Yourkin
188,Lucy Mchugh
188,Alok Nath
188,Nancy Messonnier
188,Stephen Mcallister
188,Frank Capra
188,Spike Lee
188,Ollie Wideman
188,Casey Viner
187,Ortiz Jones
187,Nguyen Xuan Phuc
187,Julian Assange
187,Albus Dumbledore
187,Zoe Kravitz
187,Jose Luis
186,Demi Lovatohas
186,Friuli Venice Giulia
186,Jeffrey Reinking
186,Tyler Barriss
186,Gordana Jankulovska
185,David Parry
185,Bhumchu Zangmo
185,Katherine Macgregor
185,Lily Allen
185,Jeff Karoub
185,Doug Jones
184,Iveta Luzumova
184,Xavi Pascual
184,Frans Timmermans
184,Sanjay Leela Bhansali
184,Kane Brown
183,Jim Bridenstine
183,Trisha Yearwood
183,Brian Whitney
183,Koji Sasahara
183,Alan Suderman
183,Jeanne Ives
183,John Antczak
183,Kurt Schrader
182,Jon Woods
182,Fred Ryan
182,Gareth Southgate
182,Maren Morris
182,Max Scherzer
181,Kevin Mayer
181,Imtiaz Muhammad
181,Panionios Panathinaikos
181,Ismail Haniyeh
181,Ronnie Watts
181,Dennis Tajer
181,Stephen Braun
181,Dmitry Peskov
181,Tanah Merah
180,Tatran Presov
180,Nicolai Kolding
180,Buster Scruggs
180,Natalia Chigirinova
180,Ola Lindgren
180,Muhammad Ben Salman
180,Maruti Suzuki
180,Scott Gelston
180,Mary Moran
180,Slavko Goluza
180,Abu Rahmeh
180,Kelly Clarkson
179,Nanda Pratama
179,George Soros
179,Jenna Dewan
179,Michel Aoun
179,Matt Morawiecki
179,Steve Bullock
179,Jay Carney
179,Simone Halep
178,David Maimon
178,Hassan Nasrallah
178,Ralph Northam
178,Conor Burns
178,Tim Ryan
177,Duke Ellington
177,Ashton Eaton
177,Livia Balogh
177,Michael Chrisochodis
177,Matthew Barakat
177,Charles Dicken
177,George Strait
177,David Lidington
177,Zhou Xun
176,Laszlo Brenzovics
176,Al Mahkamah Al Ulya
176,Kendrick Lamar
176,Waleed Aly
176,Liz Mcmillan
176,Jozsef Kantor
175,Adam Ebbin
175,Steve Kerr
175,Jeff Willner
175,Woodrow Wilson
175,Kang Granville
175,Jean-Bernard Caron
175,Prakash Chautala
175,Pedro Pascal
174,Petr David Josek
174,Alexander Zverev
174,Ted Olson
174,Yashwant Sinha
174,Enggartiasto Lukita
174,Langston Hughes
174,Cecilia Malmstrom
173,Barry Lynn
173,Stefania Pucciarelli
173,Matt Caldwell
173,Kirstjen Nielson
173,Sonia Gandhi
173,Tim Walz
172,Ya Tsu
172,Paul Biya
172,Aaron Nola
171,Patrick Wardell
171,George Bailey
171,Nick Clark
171,Meghan Trainor
171,Haley Britzky
171,Jean Claude Juncker
171,Zach Montelarro
170,Abu Sharar
170,John Karl
170,Bob Dylan
170,Artem Kozakevych
170,Jon Elswick
170,Abu Mazen
170,Spongebob Squarepants
170,Miguel Angel Soto
169,Emily Ratajkowski
169,Brent Newman
169,Gennady Zubko
168,Julia Tymoshenko
168,Aleksandr Gauland
168,Anil Ambani
168,Derek Trucks
168,Deval Patrick
168,Theodore Boutrous
168,Shah Rukh Khan
167,Lauren Jauregui
167,Michael Avenatti
167,John Mcguire
167,Nigel Dodds
167,Laura Levis
166,Sherrod Brown
166,Jane Russell
166,Margo Williams
166,Juergen Maier
166,Corey Kluber
166,Ralph Lauren
166,Esteban Felix
166,Mahatma Gandhi
166,Mark Wahlberg
166,Lauran Neergaard
165,Strom Thurmond
165,Heiko Maas
165,Shashi Tharoor
165,Tony Williams
165,Rosalyn Carter
165,Abu Amr
164,Chapo Guzman
164,Roch Marc Christian
164,Ken Ludwig
164,Szijjrt Peter
164,Jean Shepherd
163,Michael Jackson
163,Klay Thompson
163,Lori Mckenna
163,Allah Hanna
163,Paola Nugnes
163,Kanye Westripped
162,Eric Jurenas
162,Neil Goldberg
162,Vince Guaraldi
162,Elijah Langille
162,Brian Odonovan
162,Susan Tedeschi
162,Jin Kim
162,Merkel Angela Merkel
162,Jonathan Pangburn
162,Rhett Miller
162,Elizabeth Debicki
162,Chip Davis
162,Gavin Lee
162,Louis Orban
161,Shirley Holmes
161,Emmerson Mnangagwa
161,Emily Kneussle
161,Ingrid Michaelson
161,Kennedy Luce-Burke
161,Slambovian Christmas
161,Ryan Landry
161,Clyde Nantais
161,Mikko Nissinen
