lematin.ch,Le Matin,Swiss
20min.ch,20 Minuten,Swiss
letemps.ch,Le Temps,Swiss
tdg.ch,La Tribune de Genève,Swiss
lecourrier.ch,Le Courrier,Swiss
24heures.ch,24 heures,Swiss
lenouvelliste.ch,Le Nouvelliste,Swiss
tagesanzeiger.ch,Tages-Anzeiger,Swiss
blick.ch,Blick,Swiss
aargauerzeitung.ch,Aargauer Zeitung,Swiss
bernerzeitung.ch,Berner Zeitung,Swiss
tagblatt.ch,St. Galler Tagblatt,Swiss
nzz.ch,Neue Zürcher Zeitung,Swiss
luzernerzeitung.ch,Neue Luzerner Zeitung,Swiss
suedostschweiz.ch,Die Südostschweiz,Swiss